"","date","t_end","t_start","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2020-03-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-09,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-10,5,2,4.95866573539493,0.604772485758553,3.89938931456845,4.03640532362774,4.52744260981586,4.91988826217859,5.34115171932724,6.0235213355434,6.26237242516773
"6",2020-03-11,6,3,3.85835073634245,0.397113324740327,3.14868831842429,3.25134294082357,3.57704176601452,3.83549603981934,4.11888618477875,4.54977317894099,4.68631632693291
"7",2020-03-12,7,4,3.95640390967186,0.32874494489491,3.35396223258721,3.43998318855391,3.72733446414825,3.94173080221203,4.17062969265612,4.51977603946644,4.64096167317642
"8",2020-03-13,8,5,3.84596848972731,0.282992612569673,3.33094771089852,3.40676826773367,3.64679235538737,3.83137024100456,4.03302368250061,4.33702312368988,4.42882470325461
"9",2020-03-14,9,6,3.31567969966454,0.232501000637318,2.89524706621012,2.95369866817046,3.15016312359151,3.30478397266595,3.47025652940457,3.71391320539661,3.79097929333944
"10",2020-03-15,10,7,3.00594770934847,0.188857853764899,2.66131190088326,2.70844081632398,2.8719284523992,2.99757373859435,3.13108731154289,3.32813350413671,3.39400434468778
"11",2020-03-16,11,8,2.33767556240791,0.135967232495052,2.09081288164123,2.1246801353323,2.23979447587068,2.33127161846257,2.42860834028508,2.57027884916645,2.6154364252012
"12",2020-03-17,12,9,2.25711919468031,0.111250764001287,2.05105816885752,2.08046527066069,2.17887997666027,2.2533164418217,2.33162050905386,2.44570142508332,2.48349678978663
"13",2020-03-18,13,10,2.17176020487761,0.0941964775030881,1.99530023770284,2.02138925639491,2.10542587587629,2.16917005691198,2.23569083660098,2.33056282967209,2.36149847663681
"14",2020-03-19,14,11,2.05651090268034,0.0832980067292466,1.9000985821884,1.92310578648652,1.99791311968674,2.05441369854032,2.11333186376471,2.19640925090455,2.2242034307302
"15",2020-03-20,15,12,2.01539875053763,0.0753209692523553,1.87289002200867,1.89503841892722,1.96233703517341,2.01351440875236,2.0663289274396,2.14159643249158,2.16452081241251
"16",2020-03-21,16,13,1.81541292087422,0.065165904113105,1.69390437641675,1.71239351274648,1.76972358280338,1.81374937188475,1.85961956069617,1.9251169810932,1.94564810932715
"17",2020-03-22,17,14,1.65414386411336,0.055707074247767,1.54943790722287,1.5653711294124,1.61545895810844,1.6523260656525,1.69167799602074,1.74804552210149,1.76655653766887
"18",2020-03-23,18,15,1.71671006360475,0.0507441951541826,1.62034444704607,1.63442053339085,1.68139083961568,1.71552802249147,1.75134834445595,1.80095102046897,1.81725113952685
"19",2020-03-24,19,16,1.9659331332373,0.0519587872316022,1.86656686821286,1.88141001686954,1.93011489412639,1.96513603847152,2.00131733377131,2.05248368145778,2.06941149600382
"20",2020-03-25,20,17,1.87774317164573,0.0526311976733536,1.77759264682027,1.79327940411581,1.84055070185008,1.87687715213491,1.91389575661035,1.96574364214234,1.98113299088216
"21",2020-03-26,21,18,1.82980307187113,0.0523476752178064,1.73291008106297,1.74611939083924,1.7923528339556,1.8284777171924,1.8660897588799,1.91717772231694,1.93317484529779
"22",2020-03-27,22,19,1.724125004345,0.0469480960814433,1.63663207846603,1.64892990488159,1.69085998401217,1.72278100117724,1.75628421900172,1.80280273801662,1.81746114603059
"23",2020-03-28,23,20,1.33789139102315,0.035749772644975,1.27180761265989,1.28056623340448,1.3123932734559,1.33727306262843,1.36251250485194,1.39762519543136,1.40885527762239
"24",2020-03-29,24,21,1.13684204269729,0.0265467266384991,1.08667230138867,1.09424918744375,1.11843724214629,1.13629724120167,1.15480283771997,1.18134343603895,1.19018370107529
"25",2020-03-30,25,22,1.06693308923456,0.02173920049337,1.02498393592581,1.03188157854924,1.05199182422288,1.06664750626544,1.08141389955042,1.10318942630548,1.11015710899829
