"","date","t_end","t_start","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2020-03-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-09,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-03-11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-03-13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-03-14,9,2,4.35809476154783,0.468729475358213,3.5087501508694,3.62220565946203,4.0267845564162,4.33438328412204,4.67002793403082,5.16454640498969,5.32402992223565
"10",2020-03-15,10,3,3.22813295249922,0.290820317770148,2.69066378771967,2.77123839285459,3.02446391701291,3.21535656278434,3.42023871394153,3.7257933377809,3.82597138012146
"11",2020-03-16,11,4,2.21120802359684,0.177866408579681,1.88260375527617,1.93215333162781,2.08646348375141,2.20342425839721,2.32868255926928,2.51697615214982,2.57806261749032
"12",2020-03-17,12,5,2.1267467744245,0.1406348597861,1.86097062860479,1.90221892647173,2.02951861724277,2.12277892945389,2.21911520489333,2.36536163434646,2.41133314525007
"13",2020-03-18,13,6,1.94864747540542,0.11710763577527,1.72934922236349,1.76104403383951,1.86726947707909,1.94590817627552,2.02582927854249,2.14646588886479,2.18730025040131
"14",2020-03-19,14,7,1.88353246299271,0.102905082086745,1.68557603828414,1.71676565380953,1.81305413403162,1.88275910143994,1.95159456436523,2.0553788722043,2.0905735321888
"15",2020-03-20,15,8,1.56428225166039,0.0851901710638033,1.401804943666,1.426325391411,1.50578998999835,1.56217443719527,1.62171968663492,1.70735012403387,1.73365383219106
"16",2020-03-21,16,9,1.38703230291899,0.0724679873546142,1.24792674716983,1.27038298318042,1.33724573059404,1.38601777451036,1.43516847709595,1.50797428713968,1.53190216625535
"17",2020-03-22,17,10,1.34245481213846,0.0669069044911875,1.21440122945811,1.23433597500769,1.29724638848015,1.34126311809783,1.38757263494072,1.45354471127293,1.47519492228096
"18",2020-03-23,18,11,1.5552810736193,0.0687994801422598,1.42250665301651,1.44351560862793,1.50837402804589,1.55453530453461,1.60080504609601,1.67148374780944,1.69310474588294
"19",2020-03-24,19,12,2.60829140258884,0.0870967013769968,2.44002643373515,2.46642711738412,2.54870812033192,2.60790768677609,2.66698817498697,2.75192252040964,2.78058385442152
"20",2020-03-25,20,13,2.38226556749087,0.095706579887619,2.19657608593934,2.2252575972902,2.31724519739566,2.38151571938261,2.44707594203232,2.54122452858054,2.57159250972518
"21",2020-03-26,21,14,2.17848796245722,0.0965766348284104,1.99604686239805,2.02210556811544,2.11012219862524,2.17743910953686,2.24491708068987,2.3385006146209,2.36909573700618
"22",2020-03-27,22,15,1.81805791892828,0.0752225123753644,1.67439655118515,1.69546973522731,1.76545695231089,1.81650330693846,1.86973965633499,1.94293295780806,1.96651990874697
"23",2020-03-28,23,16,1.57243944364297,0.0576451941576115,1.46308957347766,1.4785560252769,1.53263109412777,1.57156257687514,1.61177474736516,1.6688616059514,1.686692906881
"24",2020-03-29,24,17,1.39959692819329,0.0454867515982121,1.31263423192746,1.32554318541601,1.36850222708434,1.39890815915809,1.42986023966657,1.47544272425513,1.49085626543267
"25",2020-03-30,25,18,1.43755398621908,0.0411534296090033,1.35788709245963,1.37034889438687,1.40976957606381,1.43712552522036,1.46549679969729,1.50582910038495,1.51877772144159
"26",2020-03-31,26,19,1.28663537215333,0.0361536818366416,1.21760645948309,1.22795840558787,1.26196919055278,1.28623885708976,1.31045924400251,1.34689909667847,1.35904594920565
"27",2020-04-01,27,20,0.908945565455381,0.0281388736794182,0.854403808924518,0.862628048728712,0.889867967943025,0.908502336048869,0.928086087653834,0.955597332441881,0.964255808227686
