"","date","t_end","t_start","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2020-03-06,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2020-03-07,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",2020-03-08,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2020-03-09,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",2020-03-10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",2020-03-11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",2020-03-12,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",2020-03-13,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",2020-03-14,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",2020-03-15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",2020-03-16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",2020-03-17,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",2020-03-18,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",2020-03-19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",2020-03-20,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2020-03-21,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",2020-03-22,17,2,1.81654977895976,0.100092859294894,1.62673956408696,1.6543583351116,1.74828900741601,1.81477628809423,1.88388051499441,1.9842112695452,2.01656709915333
"18",2020-03-23,18,3,1.60621624848231,0.0859556035942688,1.44449114949288,1.46928933213894,1.54674977262007,1.60508206979805,1.66280026044101,1.75082500537661,1.78088148594476
"19",2020-03-24,19,4,1.60656791169003,0.0781304865899975,1.45768419613519,1.47973581243701,1.55277779667076,1.60506491409953,1.65846723808774,1.73894470338335,1.76560030437444
"20",2020-03-25,20,5,1.55929694968714,0.0715921695098385,1.42278318181766,1.4441562677442,1.51003397131737,1.55783667981078,1.60682503062588,1.67950183057328,1.70297626754687
"21",2020-03-26,21,6,1.4553558175266,0.0650225911744706,1.3311163434097,1.3500714897792,1.41081306679315,1.45379256181626,1.49863735963528,1.56503890595268,1.58587156321237
"22",2020-03-27,22,7,1.37205874083603,0.0596557292612667,1.2576624605359,1.27549656948222,1.33107321561733,1.37065271193871,1.41224863772601,1.47155647242081,1.49119399783033
"23",2020-03-28,23,8,1.29221746544806,0.0549219813333367,1.18696372170972,1.20385216450322,1.25470747307534,1.29130355775858,1.32833063694145,1.38433456434898,1.40304637231627
"24",2020-03-29,24,9,1.22787592622267,0.0510468142583911,1.12973773218498,1.14458250299031,1.19317469638534,1.22676063375587,1.26173799749655,1.31327764458076,1.32998451057105
"25",2020-03-30,25,10,1.10374685335057,0.0467099499470717,1.01422766782528,1.02792963997865,1.07169378823376,1.10298328038228,1.13490199612451,1.18199643117083,1.19641918704337
"26",2020-03-31,26,11,1.06530507826854,0.0442718484796967,0.979790972353853,0.993041438910926,1.03530345995445,1.06491534771154,1.09493596001592,1.1389265946634,1.15363850762108
"27",2020-04-01,27,12,1.01297291094674,0.0427198025848925,0.931016224450645,0.943526509013793,0.983915592821011,1.01213856000485,1.04164621893983,1.0849946194945,1.09882265127754
"28",2020-04-02,28,13,0.954127558475174,0.0408853650614561,0.875758068313448,0.887637000975832,0.92604551616066,0.953803717601987,0.981097257240572,1.02272193315952,1.03612402273846
"29",2020-04-03,29,14,0.920115819889529,0.0400211946865207,0.843658764342414,0.855151604879143,0.892920589132293,0.91951338659032,0.94693185631811,0.987360516825411,0.999978714542305
"30",2020-04-04,30,15,0.891968206488344,0.03960107353152,0.815331611110621,0.826852354064801,0.865302053760716,0.891493570872891,0.9182083027918,0.957918933873258,0.970799390955853
"31",2020-04-05,31,16,0.845266934940476,0.0389020796629144,0.770159334887912,0.782108112739253,0.81883488835427,0.844734756221881,0.871108473643538,0.909983233801444,0.92285275998253
