Date,LocalName,Name,CountryCode,Fixed,Global,LaunchYear,Type
2020-01-01,Neujahr,New Year's Day,AT,True,True,1967,Public
2020-01-06,Heilige Drei Könige,Epiphany,AT,True,True,,Public
2020-04-13,Ostermontag,Easter Monday,AT,False,True,1642,Public
2020-05-01,Staatsfeiertag,National Holiday,AT,True,True,1955,Public
2020-05-21,Christi Himmelfahrt,Ascension Day,AT,False,True,,Public
2020-06-01,Pfingstmontag,Whit Monday,AT,False,True,,Public
2020-06-11,Fronleichnam,Corpus Christi,AT,False,True,,Public
2020-08-15,Maria Himmelfahrt,Assumption Day,AT,True,True,,Public
2020-10-26,Nationalfeiertag,National Holiday,AT,True,True,,Public
2020-11-01,Allerheiligen,All Saints' Day,AT,True,True,,Public
2020-12-08,Mariä Empfängnis,Immaculate Conception,AT,True,True,,Public
2020-12-25,Weihnachten,Christmas Day,AT,True,True,,Public
2020-12-26,Stefanitag,St. Stephen's Day,AT,True,True,,Public
